"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Bejeweled gold bracelet","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bejeweled ivory drinking horn with gold filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bell","PHB'24","224","none","Adventuring Gear","","","","","","1 GP","When rung as a Utilize action, a Bell produces a sound that can be heard up to 60 feet away."
"Black Opal","DMG'24","214","none","Treasure (Gemstone)","","","","","","1,000 GP","A dark green with black mottling and golden flecks gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Black Pearl","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A pure black gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Black Sapphire","DMG'24","214","none","Treasure (Gemstone)","","","","","","5,000 GP","A lustrous black with glowing highlights gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Black velvet mask stitched with silver thread","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Blanket","PHB'24","224","none","Adventuring Gear","","","","","3 lb.","5 SP","While wrapped in a blanket, you have Advantage on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Block and Tackle","PHB'24","224","none","Adventuring Gear","","","","","5 lb.","1 GP","A Block and Tackle allows you to hoist up to four times the weight you can normally lift."
"Bloodstone","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A dark gray with red flecks gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Blowgun","PHB'24","215","none","Weapon, Martial Weapon, Ranged Weapon","","1 Piercing","Ammunition (Range 25/100 ft.; Needle), Loading","Mastery: Vex","1 lb.","10 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Blue Quartz","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A pale blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Blue Sapphire","DMG'24","214","none","Treasure (Gemstone)","","","","","","1,000 GP","A medium blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Blue Spinel","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A deep blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Bolt","PHB'24","222","none","Ammunition","","","","","1.2 oz.","5 CP","Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Bolts (20)","PHB'24","222","none","Ammunition","","","","","1½ lb.","1 GP","Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Bomb","DMG'24","73","none","Explosive","","","","","1 lb.","100 GP","As an action, you can light a Bomb and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one."
"Book","PHB'24","224","none","Adventuring Gear","","","","","5 lb.","25 GP","A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence (Arcana, History, Nature, or Religion) checks you make about that topic."
"Bottle stopper cork embossed with gold leaf and set with amethysts","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Box of turquoise animal figurines","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Brass mug with jade inlay","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bread (loaf)","PHB'24","231","none","Food and Drink","","","","","","2 CP",""
"Breastplate","PHB'24","219","none","Medium Armor","","AC 14 + Dex (max 2)","","","20 lb.","400 GP",""
"Brewer's Supplies","PHB'24","220","none","Artisan's Tools","","","","","9 lb.","20 GP","Ability: IntelligenceUtilize: Detect poisoned drink (DC 15), or identify alcohol (DC 10)Craft: AntitoxinArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Bronze crown","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bucket","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","5 CP","A Bucket holds up to half a cubic foot of contents."
"Bullseye Lantern","PHB'24","226","none","Adventuring Gear","","","","","2 lb.","10 GP","A Bullseye Lantern burns Oil as fuel to cast Bright Light in a 60-foot Cone and Dim Light for an additional 60 feet."
"Bundle of sheet music representing the lost dirges of a famous composer","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Burglar's Pack","PHB'24","224","none","Adventuring Gear","","","","","47½ lb.","16 GP","A Burglar's Pack contains the following items: Backpack, Ball Bearings, Bell, 10 Candles, Crowbar, Hooded Lantern, 7 flasks of Oil, 5 days of Rations, Rope, Tinderbox, and Waterskin."
"Burnt Othur Fumes","DMG'24","90","none","Adventuring Gear, Poison (Inhaled)","","","","","","500 GP","A creature subjected to Burnt Othur Fumes must succeed on a DC 13 Constitution saving throw or take 10 (3d6) Poison damage, and it must repeat the save at the start of each of its turns. On each successive failed save, the creature takes 3 (1d6) Poison damage. After three successful saves, the poison ends."
"Calligrapher's Supplies","PHB'24","220","none","Artisan's Tools","","","","","5 lb.","10 GP","Ability: DexterityUtilize: Write text with impressive flourishes that guard against forgery (DC 15)Craft: Ink, Spell ScrollArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Caltrops","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","1 GP","As a Utilize action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 15 Dexterity saving throw or take 1 Piercing damage and have its Speed reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops."
"Camel","PHB'24","229","none","Mount","","Speed: 50, Carrying Capacity: 450 lb.","","","","50 GP",""
"Candle","PHB'24","224","none","Adventuring Gear","","","","","","1 CP","For 1 hour, a lit Candle sheds Bright Light in a 5-foot radius and Dim Light for an additional 5 feet."
"Canvas (1 sq. yd.)","DMG'24","213","none","Trade Good","","","","","","1 SP","Merchants commonly exchange trade goods without using currency."
"Carnelian","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A orange to red brown gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Carpenter's Tools","PHB'24","220","none","Artisan's Tools","","","","","6 lb.","8 GP","Ability: StrengthUtilize: Seal or pry open a door or container (DC 20)Craft: Club, Greatclub, Quarterstaff, Barrel, Chest, Ladder, Pole, Portable Ram, TorchArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Carriage","PHB'24","230","none","Vehicle (Land)","","","","","600 lb.","100 GP",""
"Carrion Crawler Mucus","DMG'24","90","none","Adventuring Gear, Poison (Contact)","","","","","","200 GP","A creature subjected to Carrion Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success."
"Cart","PHB'24","230","none","Vehicle (Land)","","","","","200 lb.","15 GP",""
"Cartographer's Tools","PHB'24","220","none","Artisan's Tools","","","","","6 lb.","15 GP","Ability: WisdomUtilize: Draft a map of a small area (DC 15)Craft: MapArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Carved bone statuette","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Carved ivory statuette","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Carved wooden harp with ivory inlay and zircon gems","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Ceremonial gold armor with black pearls","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Chain","PHB'24","224","none","Adventuring Gear","","","","","10 lb.","5 GP","As a Utilize action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Strength (Athletics) check. If the creature's legs are bound, the creature has the Restrained condition until it escapes. Escaping the Chain requires the creature to make a successful DC 18 Dexterity (Acrobatics) check as an action. Bursting the Chain requires a successful DC 20 Strength (Athletics) check as an action."
"Chain Mail","PHB'24","219","none","Heavy Armor","","AC 16","","","55 lb.","75 GP","The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
"Chain Shirt","PHB'24","219","none","Medium Armor","","AC 13 + Dex (max 2)","","","20 lb.","50 GP",""
"Chalcedony","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A white gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Chariot","PHB'24","230","none","Vehicle (Land)","","","","","100 lb.","250 GP",""
"Cheese (wedge)","PHB'24","231","none","Food and Drink","","","","","","1 SP",""
"Chest","PHB'24","225","none","Adventuring Gear","","","","","25 lb.","5 GP","A Chest holds up to 12 cubic feet of contents."
"Chicken","DMG'24","213","none","Trade Good","","","","","","2 CP","Merchants commonly exchange trade goods without using currency."
"Chrysoberyl","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A yellow green to pale green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Chrysoprase","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Cinnamon","DMG'24","213","none","Trade Good","","","","","1 lb.","2 GP","Merchants commonly exchange trade goods without using currency."
"Citrine","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A pale yellow brown gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Climber's Kit","PHB'24","225","none","Adventuring Gear","","","","","12 lb.","25 GP","A Climber's Kit includes boot tips, gloves, pitons, and a harness. As a Utilize action, you can use the Climber's Kit to anchor yourself; when you do, you can't fall more than 25 feet from the anchor point, and you can't move more than 25 feet from there without undoing the anchor as a Bonus Action."
"Cloth-of-gold vestments","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Cloves","DMG'24","213","none","Trade Good","","","","","1 lb.","3 GP","Merchants commonly exchange trade goods without using currency."
"Club","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d4 Bludgeoning","Light","Mastery: Slow","2 lb.","1 SP","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Cobbler's Tools","PHB'24","220","none","Artisan's Tools","","","","","5 lb.","5 GP","Ability: DexterityUtilize: Modify footwear to give Advantage on the wearer's next Dexterity (Acrobatics) check (DC 10)Craft: Climber's KitArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Common Wine (bottle)","PHB'24","231","none","Food and Drink","","","","","","2 SP",""
"Component Pouch","PHB'24","225","none","Adventuring Gear","","","","","2 lb.","25 GP","A Component Pouch is watertight and filled with compartments that hold all the free Material components of your spells."
"Cook's Utensils","PHB'24","220","none","Artisan's Tools","","","","","8 lb.","1 GP","Ability: WisdomUtilize: Improve food's flavor (DC 10), or detect spoiled or poisoned food (DC 15)Craft: RationsArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Copper","DMG'24","213","none","Trade Good","","","","","1 lb.","5 SP","Merchants commonly exchange trade goods without using currency."
"Copper chalice with silver filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Coral","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A crimson gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Costume","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","5 GP","While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents."
"Cotton Cloth (1 sq. yd.)","DMG'24","213","none","Trade Good","","","","","","5 SP","Merchants commonly exchange trade goods without using currency."
"Cow","DMG'24","213","none","Trade Good","","","","","","10 GP","Merchants commonly exchange trade goods without using currency."
"Crossbow Bolt Case","PHB'24","224","none","Adventuring Gear","","","","","1 lb.","1 GP","A Crossbow Bolt Case holds up to 20 Bolts."
"Crowbar","PHB'24","225","none","Adventuring Gear","","","","","5 lb.","2 GP","Using a Crowbar gives you Advantage on Strength checks where the Crowbar's leverage can be applied."
"Crystal","PHB'24","224","none","Spellcasting Focus","","","","","1 lb.","10 GP","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Dagger","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d4 Piercing","Finesse, Light, Thrown (20/60 ft.)","Mastery: Nick","1 lb.","2 GP","Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
